Ia, Ib, Ic, Va, Vb, Vc
-0.254, 1.866, -0.081, 0.468, 0.483, 0.453
-1.462, 0.658, -0.323, 0.468, 0.483, 0.453
-2.429, 0.336, -0.001, 0.468, 0.483, 0.453
-1.462, 1.786, 0.966, 0.468, 0.483, 0.453
-1.785, 1.464, 0.725, 0.468, 0.483, 0.453
-1.865, 1.544, 0.886, 0.468, 0.483, 0.453
-1.140, 0.980, 1.127, 0.468, 0.483, 0.453
-1.301, -0.389, 1.450, 0.468, 0.483, 0.453
-2.268, -2.001, 1.450, 0.468, 0.483, 0.453
-0.979, -0.792, 2.739, 0.468, 0.483, 0.453
-1.543, -0.873, 2.497, 0.468, 0.483, 0.453
-0.576, -0.148, 2.658, 0.468, 0.483, 0.453
-1.865, -1.759, 0.966, 0.468, 0.483, 0.453
-0.415, -1.840, 1.047, 0.468, 0.483, 0.453
0.713, -1.678, 1.611, 0.468, 0.483, 0.453
0.713, -2.323, 1.530, 0.468, 0.483, 0.453
0.471, -2.081, 1.450, 0.468, 0.483, 0.453
0.149, -2.404, 0.805, 0.468, 0.483, 0.453
0.955, -1.276, 0.805, 0.468, 0.483, 0.453
1.841, -1.195, -0.242, 0.468, 0.483, 0.453
2.082, -1.115, -1.048, 0.468, 0.483, 0.453
2.163, -1.115, -1.209, 0.468, 0.483, 0.453
2.566, -0.792, -1.048, 0.468, 0.483, 0.453
1.599, -1.437, -1.773, 0.468, 0.483, 0.453
0.874, -1.517, -1.854, 0.468, 0.483, 0.453
2.002, 0.255, -1.209, 0.468, 0.483, 0.453
0.229, -0.712, -3.223, 0.468, 0.483, 0.453
1.438, 1.222, -2.498, 0.468, 0.483, 0.453
1.599, 0.980, -2.337, 0.468, 0.483, 0.453
1.841, 1.061, -2.256, 0.468, 0.483, 0.453
1.519, 1.383, -1.692, 0.468, 0.483, 0.453
0.149, 1.786, -1.773, 0.468, 0.483, 0.453
-1.382, 1.383, -2.659, 0.468, 0.483, 0.453
-0.818, 2.269, -2.176, 0.468, 0.483, 0.453
-0.415, 2.511, -1.854, 0.468, 0.483, 0.453
-0.254, 2.269, -1.531, 0.468, 0.483, 0.453
-1.382, 1.061, -1.854, 0.468, 0.483, 0.453
-1.785, 0.980, -0.967, 0.468, 0.483, 0.453
-1.221, 1.947, 0.966, 0.468, 0.483, 0.453
-1.543, 1.544, 0.886, 0.468, 0.483, 0.453
-1.785, 1.383, 0.563, 0.468, 0.483, 0.453
-1.624, 1.302, 0.805, 0.468, 0.483, 0.453
-1.301, 0.819, 0.805, 0.468, 0.483, 0.453
-2.107, -0.953, 0.644, 0.468, 0.483, 0.453
-1.301, -0.712, 2.094, 0.468, 0.483, 0.453
-1.221, -1.115, 2.175, 0.468, 0.483, 0.453
-0.818, -0.470, 2.900, 0.468, 0.483, 0.453
-1.301, -0.792, 2.416, 0.468, 0.483, 0.453
-0.335, -0.389, 2.578, 0.468, 0.483, 0.453
-1.301, -2.242, 0.886, 0.468, 0.483, 0.453
0.471, -1.840, 1.691, 0.468, 0.483, 0.453
0.391, -2.323, 1.933, 0.468, 0.483, 0.453
0.391, -2.081, 2.094, 0.468, 0.483, 0.453
-0.012, -1.920, 1.852, 0.468, 0.483, 0.453
0.471, -1.759, 1.450, 0.468, 0.483, 0.453
0.149, -2.323, -0.726, 0.468, 0.483, 0.453
1.760, -1.034, -0.726, 0.468, 0.483, 0.453
2.002, -0.792, -1.048, 0.468, 0.483, 0.453
2.324, -1.034, -0.887, 0.468, 0.483, 0.453
2.244, -1.034, -0.806, 0.468, 0.483, 0.453
1.438, -0.792, -1.048, 0.468, 0.483, 0.453
1.680, 0.255, -1.048, 0.468, 0.483, 0.453
0.793, 0.336, -2.256, 0.468, 0.483, 0.453
1.196, 0.900, -2.337, 0.468, 0.483, 0.453
1.438, 1.061, -2.498, 0.468, 0.483, 0.453
1.760, 1.061, -1.934, 0.468, 0.483, 0.453
1.035, 0.980, -2.095, 0.468, 0.483, 0.453
0.874, 2.511, -0.887, 0.468, 0.483, 0.453
-0.657, 2.592, -1.531, 0.468, 0.483, 0.453
-0.898, 2.833, -1.531, 0.468, 0.483, 0.453
-0.254, 2.994, -1.370, 0.468, 0.483, 0.453
-0.415, 2.350, -2.176, 0.468, 0.483, 0.453
-0.254, 2.028, -1.370, 0.468, 0.483, 0.453
-0.818, 1.786, -0.806, 0.468, 0.483, 0.453
-2.510, 0.577, -0.887, 0.468, 0.483, 0.453
-1.704, 1.947, 0.644, 0.468, 0.483, 0.453
-1.946, 1.464, 0.161, 0.468, 0.483, 0.453
-1.865, 1.705, 0.241, 0.468, 0.483, 0.453
